name,dy_cd,glm_aed,gotm_wet,gotm_fabm,name_text,name_full,name_parse,units,conversion_aed,default,derived,derived_from,keywords
LKE_tli3,,,,,Trophic Level Index 3,Trophic_Level_Index_3,Trophic~Level~Index~3,1,1,,TRUE,PHS_tp;NIT_tn;PHY_tchla;HYD_epidep,trophic level index 3|TLI3|LKE_tli3
LKE_tli4,,,,,Trophic Level Index 4,Trophic_Level_Index_4,Trophic~Level~Index~4,1,1,,TRUE,PHS_tp;NIT_tn;PHY_tchla;HYD_epidep;LKE_photic,trophic level index 4|TLI4|LKE_tli4
RAD_par,PAR,rad,rad,,Photosynthetically active radiation,Photosynthetically_active_radiation_umol/m2/s,Photosynthetically~active~radiation~(umol~m^2~s^-1),umol/m2/s,1,,FALSE,NA,photosynthetically active radiation|PAR|RAD_par
RAD_extc,EXTC,extc_coef,,,Light extinction coefficient,Light_extinction_coefficient_/m,Light~extinction~coefficient~(m^-1),m-1,1,,FALSE,NA,light extinction coefficient|extc|RAD_extc
RAD_secchi,,,,,Secchi disk depth,Secchi_disk_depth_m,Secchi~disk~depth~m,m,1,,FALSE,NA,secchi disk depth|secchi|RAD_secchi
CHM_salt,SALINITY,salt,salt,,Salinity,Salinity_PSU,Salinity~(PSU),1,1,0,FALSE,NA,salinity|salt|CHM_salt
CHM_ph,,,,,pH,pH,pH,1,1,7,FALSE,NA,pH|CHM_ph
CHM_oxy,DO,OXY_oxy,abiotic_water_sO2W,instances/abiotic_water/initialization/sO2W,Dissolved oxygen,Dissolved_oxygen_mg/L,Dissolved~oxygen~(mg~L^-1),mg/L,0.032,10.3,FALSE,NA,dissolved oxygen|DO|CHM_oxy|do|oxy
CHM_oxycln,,,,,Oxycline depth,Oxycline_depth_m,Oxycline~depth~(m),m,1,,TRUE,CHM_oxy,oxycline depth|CHM_oxycln
CHM_oxyepi,,,,,Epilimnetic oxygen,Epilimnetic_oxygen_mg/L,Epilimnetic~oxygen~(mg~L^-1),mg/L,1,,TRUE,CHM_oxy,epilimnetic oxygen|CHM_oxyepi
CHM_oxymet,,,,,Metalimnetic oygen,Metalimnetic_oxygen_mg/L,Metalimnetic~oxygen~(mg~L^-1),mg/L,,,TRUE,CHM_oxy,metalimnetic oxygen|CHM_oxymet
CHM_oxyhyp,,,,,Hypolimnetic oxygen,Hypolimnetic_oxygen_mg/L,Hypolimnetic~oxygen~(mg~L^-1),mg/L,1,,TRUE,CHM_oxy,hypolimnetic oxygen|CHM_oxyhyp
