Date,HYD_flow,HYD_temp,CHM_salt,CHM_oxy,PHS_frp,PHS_dop,PHS_pop,PHS_pip,NIT_amm,NIT_nit,NIT_don,NIT_pon,CAR_doc,CAR_poc,SIL_rsi,NCS_ss1,NCS_ss2,PHY_cyano,PHY_green,PHY_diatom
2015-04-22,1707.1,12.238681329631,0,10.8809691546797,0.00318884758053248,0.000116417778150343,0.000465671112601371,0.00174626667225514,0.0106876638604405,0.00147476359095659,0.0037408110000328,0.00561121650004921,0.021242462464472,0.031863693696708,10,0.632540027008963,0,0.1,0.1,0.1
2015-04-23,1615.38,12.1673878083848,0,10.8984641934285,0.00335557666040932,0.000122815514633089,0.000491262058532358,0.00184223271949634,0.011382969498812,0.00156519003969283,0.00392955069622256,0.00589432604433384,0.0223142343106924,0.0334713514660386,10,0.670844089731209,0,0.1,0.1,0.1
2015-04-24,1531.99,12.0969325012426,0,10.9158023292171,0.0035260601748001,0.000129406206088552,0.000517624824354206,0.00194109309132827,0.0120997065164185,0.00165361863536446,0.00412567965621969,0.00618851948432953,0.0234279666192475,0.0351419499288713,10,0.70700510716976,0,0.1,0.1,0.1
2015-04-25,1452.19,12.0273362570278,0,10.9329768705987,0.0037087744426418,0.000136472436451463,0.000545889745805852,0.00204708654677195,0.0128687218029962,0.00174719806742024,0.00433766469979548,0.00650649704969322,0.0246317388309815,0.0369476082464722,10,0.744873689959991,0,0.1,0.1,0.1
2015-04-26,4271.03,11.9586196703542,0,10.9499811404128,0.000471601072018459,1.84960697825817e-05,7.39842791303269e-05,0.000277441046738726,0.00468378143077431,0.00321545010676347,0.00419530080980841,0.00629295121471261,0.0238233153128406,0.0357349729692609,10,0.564736772054516,0,0.1,0.1,0.1
2015-04-27,5487.4,11.8908030755309,0,10.9668084796951,0.000699828613791413,2.77939388731549e-05,0.00011117575549262,0.000416909083097323,0.00443265117814994,0.00464309164859132,0.00483109704100594,0.00724664556150891,0.0274337296257123,0.0411505944385685,10,0.74907127910012,0,0.1,0.1,0.1
2015-04-28,6402.11,11.8239065405454,0,10.9834522516487,0.00110213651703313,4.95312034879672e-05,0.000198124813951869,0.000742968052319509,0.00447789259916028,0.00586924054188853,0.00563947573655936,0.00845921360483903,0.0320241657897478,0.0480362486846217,10,1.48583760702581,0,0.1,0.1,0.1
2015-04-29,5118.07,11.7579498611254,0,10.999905845671,0.000970961120714254,3.5308542972898e-05,0.000141234171891592,0.00052962814459347,0.00521745826899202,0.00240305776618725,0.00367730420503823,0.00551595630755734,0.0208818345928956,0.0313227518893435,10,0.279041502026154,0,0.1,0.1,0.1
2015-04-30,3716.85,11.6929525548803,0,11.0161626814334,0.00154717347423652,5.59901187926739e-05,0.000223960475170696,0.000839851781890109,0.00650138314530207,0.00154259945130796,0.0033078324691478,0.0049617487037217,0.0187837629498036,0.0281756444247054,10,0.222234528575864,0,0.1,0.1,0.1
2015-05-01,2813.65,11.6289338555264,0,11.0322162130108,0.00199203684850283,7.29683015378601e-05,0.00029187320615144,0.0010945245230679,0.00695412161581789,0.00123222178579212,0.00263299268930819,0.00394948903396229,0.014951637057143,0.0224274555857144,10,0.357193771249445,0,0.1,0.1,0.1
2015-05-02,2522.82,11.5659127071947,0,11.0480599330553,0.00214380806333666,7.89226507027255e-05,0.000315690602810902,0.00118383976054088,0.00764488609824363,0.00123701981341871,0.00267344157748393,0.00401016236622589,0.0151813289578552,0.0227719934367827,10,0.424047776140192,0,0.1,0.1,0.1
2015-05-03,2369.66,11.5039077588255,0,11.0636873770106,0.00224505331177215,8.28317191671801e-05,0.00033132687666872,0.0012424757875077,0.008061831801101,0.00125734257552687,0.00272883403950947,0.0040932510592642,0.0154958790100716,0.0232438185151074,10,0.460354746234903,0,0.1,0.1,0.1
2015-05-04,2250.35,11.4429373586495,0,11.0790921273633,0.00234071972443353,8.6474854775235e-05,0.00034589941910094,0.00129712282162852,0.0084229790396165,0.00129005505101829,0.00280761073957207,0.0042114161093581,0.0159432181282842,0.0239148271924264,10,0.487119804503299,0,0.1,0.1,0.1
2015-05-05,2138.27,11.3830195487586,0,11.0942678179255,0.00244560210875568,9.04468494112062e-05,0.000361787397644825,0.00135670274116809,0.00880530599352841,0.00133166087864863,0.00290688487566678,0.00436032731350017,0.0165069534011078,0.0247604301016617,10,0.513055754463655,0,0.1,0.1,0.1
2015-05-06,2032.21,11.3241720597667,0,11.1092081381448,0.00255541544394477,9.46191200411375e-05,0.00037847648016455,0.00141928680061706,0.00920270839508122,0.00137329403775299,0.00301282556007302,0.00451923834010954,0.0171085451447004,0.0256628177170506,10,0.538941949105161,0,0.1,0.1,0.1
2015-05-07,8987.41,11.2664123055633,0,11.1239068374361,0.000309197595190717,1.21409491622837e-05,4.85637966491347e-05,0.000182114237434255,0.00410963604322936,0.00323240067041339,0.00408904380102121,0.00613356570153181,0.0232199272986561,0.0348298909479842,10,0.48962334281289,0,0.1,0.1,0.1
2015-05-08,9408.4,11.2097573781599,0,11.1383577295318,0.000606661331938268,2.42298272545385e-05,9.69193090181539e-05,0.000363447408818077,0.00322689353185876,0.00282452393374006,0.00337367017025467,0.005060505255382,0.0191576270382319,0.0287364405573478,10,0.639640128307789,0,0.1,0.1,0.1
