Date,outflow
2019-07-01,25334.2334854761
2019-07-02,26798.0893936911
2019-07-03,27137.9685083047
2019-07-04,25862.9458106328
2019-07-05,21951.8846767911
2019-07-06,17671.6303831948
2019-07-07,15737.7510366688
2019-07-08,15391.9723877732
2019-07-09,14468.5944774007
2019-07-10,19935.9857095298
2019-07-11,24538.3637379651
2019-07-12,25374.5174654199
2019-07-13,24869.5077714279
2019-07-14,24761.550064845
2019-07-15,18953.9791671298
2019-07-16,14022.3347506353
2019-07-17,12128.2302288652
2019-07-18,12168.4293955084
2019-07-19,15210.8066670122
2019-07-20,18772.2890499866
2019-07-21,20053.6242722676
2019-07-22,20670.9041333502
2019-07-23,20521.964467426
2019-07-24,18258.9271080728
2019-07-25,14897.0770874683
2019-07-26,13666.216812759
2019-07-27,13061.4528427115
2019-07-28,14036.0755446174
2019-07-29,13691.5813346598
2019-07-30,13367.8400486822
2019-07-31,13105.0085044156
2019-08-01,15658.5334784976
2019-08-02,18263.7169890761
2019-08-03,18948.2464703816
2019-08-04,19447.7137482891
2019-08-05,19762.1670774356
2019-08-06,17361.106271806
2019-08-07,13405.3006170648
2019-08-08,11749.1749698638
2019-08-09,10905.1751543914
2019-08-10,11933.3528104479
2019-08-11,13206.9854771688
2019-08-12,14141.7854088962
2019-08-13,15758.8636474059
2019-08-14,16376.1207886198
2019-08-15,15110.1787438502
2019-08-16,13459.6272275352
2019-08-17,11815.8606916721
2019-08-18,15983.3210241772
2019-08-19,18807.5749100365
2019-08-20,19784.498466731
2019-08-21,20067.5389792766
2019-08-22,20235.2992423013
2019-08-23,14223.3404107441
2019-08-24,10542.6523201968
2019-08-25,9025.7661144047
2019-08-26,8290.76374852546
2019-08-27,7698.80853981757
2019-08-28,7164.67552219158
2019-08-29,9042.36088930875
2019-08-30,25638.553352827
2019-08-31,44548.597224535
2019-09-01,51148.6718563453
2019-09-02,53934.9572849571
2019-09-03,57685.475438244
2019-09-04,47036.6195852099
2019-09-05,31153.0485225631
2019-09-06,26245.5269690361
2019-09-07,24711.3003191257
2019-09-08,19676.7156935219
2019-09-09,14262.0541291465
2019-09-10,11831.7416590572
2019-09-11,12495.3706873269
2019-09-12,17658.8890747387
2019-09-13,20567.820288489
2019-09-14,26994.7006918003
2019-09-15,30412.3018855235
2019-09-16,30046.7848310335
2019-09-17,28895.8126181323
2019-09-18,29138.5432404065
2019-09-19,30975.4188484674
2019-09-20,36217.7525299301
2019-09-21,40873.8928791454
2019-09-22,38447.9776691576
2019-09-23,35912.3622926212
2019-09-24,28009.078348318
2019-09-25,19567.6479171538
2019-09-26,13829.7158253171
2019-09-27,12324.1487274373
2019-09-28,11834.7140589671
2019-09-29,11335.2986772173
2019-09-30,10825.7776145276
2019-10-01,10525.8051965262
2019-10-02,10034.2737909293
2019-10-03,9198.76890179078
2019-10-04,8885.15866860145
2019-10-05,8534.52247016773
2019-10-06,7897.09858927746
2019-10-07,7411.08008501366
2019-10-08,7138.28183009738
2019-10-09,6698.50920009225
2019-10-10,6425.60468032007
2019-10-11,6236.44201745058
2019-10-12,5687.13576245566
2019-10-13,5406.67232282498
2019-10-14,5157.40003082249
2019-10-15,4928.68371889055
2019-10-16,4833.14247148913
2019-10-17,8220.98338993238
2019-10-18,8985.97393798968
2019-10-19,9232.90793762046
2019-10-20,9390.46281045607
2019-10-21,9322.24883759071
2019-10-22,5740.72727224241
2019-10-23,4664.99207516604
2019-10-24,4092.24574492813
2019-10-25,3550.89722787315
2019-10-26,9218.09431361241
2019-10-27,19963.8268570682
2019-10-28,26534.6031687604
2019-10-29,28903.7922920169
2019-10-30,30290.9054278371
2019-10-31,25209.12387696
2019-11-01,16031.9285410023
2019-11-02,10555.5623547733
2019-11-03,8997.99724784832
2019-11-04,8232.03942104798
2019-11-05,7693.67083100085
2019-11-06,6209.89217238598
2019-11-07,5398.02691756045
2019-11-08,4869.75683918254
2019-11-09,4521.98374387845
2019-11-10,5243.08133059135
2019-11-11,5706.12913696313
2019-11-12,5865.09670917011
2019-11-13,5662.12078340685
2019-11-14,7219.20097167224
2019-11-15,7137.14563672807
2019-11-16,7124.05686827985
2019-11-17,6871.48436053359
2019-11-18,6894.52287456666
2019-11-19,5215.4531828691
2019-11-20,4275.60365001886
2019-11-21,3995.23734773318
2019-11-22,3863.09667106821
2019-11-23,3973.73013052846
2019-11-24,4028.76208928809
2019-11-25,3867.00943509205
2019-11-26,3834.51502825381
2019-11-27,3671.51488296108
2019-11-28,3199.90019348273
2019-11-29,2953.9504286769
2019-11-30,2833.09501209954
2019-12-01,2148.98561800882
2019-12-02,1902.33048644209
2019-12-03,1820.89360966526
2019-12-04,1735.4440766614
2019-12-05,1675.81693608228
2019-12-06,1791.33263215007
2019-12-07,1853.96558240023
2019-12-08,1841.45690797556
2019-12-09,2733.94218945816
2019-12-10,2857.71645995894
2019-12-11,2739.95540042104
2019-12-12,13397.604604187
2019-12-13,20833.3194618449
2019-12-14,22373.2443307517
2019-12-15,24076.1997387872
2019-12-16,28676.6428076199
2019-12-17,19539.3830983729
2019-12-18,13187.6420180508
2019-12-19,11717.971504409
2019-12-20,10544.1056176289
2019-12-21,6469.10868567733
2019-12-22,5397.8555565824
2019-12-23,4827.40351627082
2019-12-24,4168.38133026469
2019-12-25,3806.79304669644
2019-12-26,3553.31155641084
2019-12-27,3346.56489714873
2019-12-28,3105.49592915927
2019-12-29,2821.25131388526
2019-12-30,2757.7153643466
2019-12-31,2489.26569793965
2020-01-01,2228.26192812738
2020-01-02,2093.94542009608
2020-01-03,2091.2175476046
2020-01-04,1860.5024254757
2020-01-05,1723.4485645012
2020-01-06,1576.25474999516
2020-01-07,1404.58797123164
2020-01-08,1223.20525389394
2020-01-09,1050.96444386994
2020-01-10,875.371266815959
2020-01-11,774.657748005062
2020-01-12,685.729374109678
2020-01-13,610.33197413053
2020-01-14,574.234762001848
2020-01-15,575.988736094494
2020-01-16,573.509951815678
2020-01-17,428.996983260045
2020-01-18,259.41510783205
2020-01-19,55.3398128305167
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,596.54375452298
2020-03-31,319.917012386164
2020-04-01,119.215516711496
2020-04-02,214.491652407083
2020-04-03,200.847712219819
2020-04-04,54.0754809172989
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,404.365877022605
2020-04-09,309.625542222329
2020-04-10,966.759184234773
2020-04-11,2775.74941006182
2020-04-12,3283.59610832824
2020-04-13,2984.94269766233
2020-04-14,3307.36954110306
2020-04-15,3546.82138517352
2020-04-16,2258.9538222447
2020-04-17,2128.61382496428
2020-04-18,2134.91567387408
2020-04-19,2222.93883390668
2020-04-20,1619.39338740243
2020-04-21,1303.22848596669
2020-04-22,1099.0427479281
2020-04-23,871.101508153675
2020-04-24,1778.51196933069
2020-04-25,2831.81748112454
2020-04-26,3722.98500629353
2020-04-27,4513.42740165747
2020-04-28,4982.16593105337
2020-04-29,4259.8692060916
2020-04-30,3355.85058919887
2020-05-01,2647.17031548148
2020-05-02,2078.27581844258
2020-05-03,1831.16928861585
2020-05-04,1671.53700480363
2020-05-05,3873.18643304375
2020-05-06,5607.30090341641
2020-05-07,6124.94460510512
2020-05-08,6513.67153579836
2020-05-09,7091.71967329953
2020-05-10,6091.15151512077
2020-05-11,4718.69256882783
2020-05-12,8252.09058343696
2020-05-13,10833.7127369434
2020-05-14,11596.8936617689
2020-05-15,11284.8034175059
2020-05-16,11463.895886713
2020-05-17,7987.31236115098
2020-05-18,5534.66849232476
2020-05-19,5818.38559667927
2020-05-20,6765.0400368642
2020-05-21,20044.5727608524
2020-05-22,25973.2148089462
2020-05-23,29425.3600184957
2020-05-24,30959.5846352255
2020-05-25,30968.1947729629
2020-05-26,18686.0720928617
2020-05-27,13588.6027241961
2020-05-28,11500.0402171113
2020-05-29,10247.2390401227
2020-05-30,10259.3119674335
2020-05-31,10799.6709912761
2020-06-01,23714.0377595515
2020-06-02,28750.2469881546
2020-06-03,31034.2196179584
2020-06-04,31892.5781701056
2020-06-05,31923.8466209751
2020-06-06,19497.95859976
2020-06-07,14351.8329439543
2020-06-08,12590.4638892714
2020-06-09,11720.7968394018
2020-06-10,11295.2361730521
2020-06-11,10755.149032193
2020-06-12,10555.4815976894
2020-06-13,10102.0562113403
2020-06-14,9690.34381042623
2020-06-15,9314.41715958362
2020-06-16,9183.85281151258
2020-06-17,8840.78663757819
2020-06-18,9155.79446320054
2020-06-19,8927.96688324984
