"ID","Name","Area","Region","Geomorphic type","Depth","Depth measurement","Data","aeme_file"
"LID 45678","LID 45678",10.58,"West Coast","Glacial",NA,"Predicted","No data","LID45678"
"LID 45683","Lake Matheson",8.96,"West Coast","Riverine",12,"Measured","No data","LID45683"
"LID 45684","Lake Lyttle",7.01,"West Coast","Glacial",25.14,"Predicted","No data","LID45684"
"LID 45686","Lake Gault",31.81,"West Coast","Glacial",26.75,"Predicted","No data","LID45686"
"LID 45688","LID 45688",27.65,"West Coast","Glacial",22.52,"Predicted","No data","LID45688"
"LID 45691","LID 45691",5.19,"West Coast","Riverine",20.31,"Predicted","No data","LID45691"
"LID 45692","Lake Mueller",57.94,"West Coast","Glacial",30.91,"Predicted","No data","LID45692"
"LID 45724","Maori Lakes W",9.57,"Canterbury","Riverine",2.84,"Measured","Minimal Data","LID45724"
"LID 45729","LID 45729",6.66,"Canterbury","Peat",4.23,"Predicted","No data","LID45729"
"LID 45809","LID 45809",5.56,"Auckland","Aeolian",12.39,"Predicted","No data","LID45809"
"LID 45811","Lower Huia Reservoir",47.02,"Auckland","Dam",28.54,"Predicted","No data","LID45811"
"LID 45812","Upper Huia Reservoir",18.01,"Auckland","Dam",32.95,"Predicted","No data","LID45812"
"LID 45813","Lower Nihotupu Reservoir",51.1,"Auckland","Dam",15.12,"Predicted","No data","LID45813"
"LID 45814","Upper Nihotupu Reservoir",10.19,"Auckland","Dam",39.7,"Predicted","No data","LID45814"
"LID 45818","Kawaupaka",9.77,"Auckland","Aeolian",21.44,"Measured","Seasonal but Detailed","LID45818"
"LID 45819","Wainamu",14.97,"Auckland","Aeolian",13.49,"Measured","Limited and Irregular","LID45819"
"LID 45847","LID 45847",7.87,"Canterbury","Dam",9.03,"Predicted","No data","LID45847"
"LID 45849","LID 45849",5.81,"Canterbury","Dam",9.9,"Predicted","No data","LID45849"
"LID 45905","Waitakere",25.28,"Auckland","Dam",26.64,"Predicted","No data","LID45905"
"LID 45924","Lake Unknown",108.37,"Otago","Glacial",83.82,"Predicted","No data","LID45924"
