"ID","Name","Area","Region","Geomorphic type","Depth","Depth measurement","Data","aeme_file"
"LID 50782","Waikare",3438.66,"Waikato","Riverine",1.6,"Measured","Periodic but Sparse","LID50782"
"LID 51224","Wairoa Reservoir",94.36,"Auckland","Dam",27.43,"Predicted","No data","LID51224"
"LID 51225","LID 51225",13.93,"Auckland","Dam",18.25,"Predicted","No data","LID51225"
"LID 51242","Cosseys Reservoir",113.2,"Auckland","Dam",23.34,"Predicted","No data","LID51242"
"LID 51368","Mangatangi Reservoir",154.48,"Waikato","Dam",44.39,"Predicted","No data","LID51368"
"LID 51371","Upper Mangatawhiri Reservoir",123.88,"Waikato","Dam",26.55,"Predicted","No data","LID51371"
"LID 51380","Kaiaua Quarry Ponds",11.14,"Waikato","Dam",4.64,"Predicted","No data","LID51380"
"LID 51430","LID 51430",8.56,"Waikato","Riverine",5.82,"Predicted","No data","LID51430"
"LID 51624","LID 51624",9.47,"Southland","Riverine",43.82,"Predicted","No data","LID51624"
"LID 51625","Lake Beattie",179.58,"Southland","Glacial",64.01,"Predicted","No data","LID51625"
"LID 51631","Lake Swan",36.23,"Southland","Glacial",53.69,"Predicted","No data","LID51631"
"LID 51634","LID 51634",10.62,"Southland","Glacial",59.14,"Predicted","No data","LID51634"
"LID 51637","LID 51637",14.7,"Southland","Glacial",41.26,"Predicted","No data","LID51637"
"LID 51640","Lake Paradise",54.49,"Southland","Glacial",72.22,"Predicted","No data","LID51640"
"LID 51647","LID 51647",18.06,"Southland","Glacial",56.45,"Predicted","No data","LID51647"
"LID 51652","LID 51652",53.61,"Southland","Glacial",60,"Predicted","No data","LID51652"
"LID 51653","LID 51653",27.5,"Southland","Glacial",37.64,"Predicted","No data","LID51653"
"LID 51654","LID 51654",12.3,"Southland","Glacial",51.35,"Predicted","No data","LID51654"
"LID 51656","LID 51656",36.53,"Southland","Glacial",48.6,"Predicted","No data","LID51656"
"LID 51657","LID 51657",10.54,"Southland","Glacial",42.47,"Predicted","No data","LID51657"
"LID 51658","LID 51658",25.65,"Southland","Glacial",58.62,"Predicted","No data","LID51658"
"LID 51659","LID 51659",17.6,"Southland","Glacial",60.38,"Predicted","No data","LID51659"
"LID 51664","LID 51664",8.08,"Southland","Glacial",64.73,"Predicted","No data","LID51664"
"LID 51684","LID 51684",6.58,"Southland","Glacial",NA,"Predicted","No data","LID51684"
"LID 51722","LID 51722",5.95,"Southland","Glacial",51.27,"Predicted","No data","LID51722"
"LID 51747","Lake Louise",22.12,"Southland","Glacial",54.39,"Predicted","No data","LID51747"
"LID 51751","Lake Colwell",19.7,"Southland","Glacial",49.34,"Predicted","No data","LID51751"
"LID 51754","Lake Troup",16.3,"Southland","Glacial",65.08,"Predicted","No data","LID51754"
"LID 51781","LID 51781",6.85,"Southland","Glacial",65.71,"Predicted","No data","LID51781"
"LID 51784","LID 51784",63.84,"Southland","Glacial",56.6,"Predicted","No data","LID51784"
"LID 51785","LID 51785",11.5,"Southland","Glacial",71.8,"Predicted","No data","LID51785"
"LID 51786","LID 51786",9.01,"Southland","Glacial",50.34,"Predicted","No data","LID51786"
"LID 51788","LID 51788",9.75,"Southland","Glacial",47.9,"Predicted","No data","LID51788"
"LID 51790","LID 51790",22.61,"Southland","Glacial",61.8,"Predicted","No data","LID51790"
"LID 51794","LID 51794",18.08,"Southland","Glacial",48.71,"Predicted","No data","LID51794"
"LID 51808","LID 51808",14.27,"Southland","Glacial",60.96,"Predicted","No data","LID51808"
"LID 51822","Lake Virginia",12.98,"Southland","Glacial",43.2,"Predicted","No data","LID51822"
"LID 51826","Lake Carina",14.44,"Southland","Glacial",59.07,"Predicted","No data","LID51826"
"LID 51827","Lake Lucille",12.34,"Southland","Glacial",57.94,"Predicted","No data","LID51827"
"LID 51836","LID 51836",11.29,"Southland","Glacial",72.21,"Predicted","No data","LID51836"
"LID 51838","Lake Matilda",21.97,"Southland","Glacial",65.15,"Predicted","No data","LID51838"
"LID 51845","LID 51845",6.26,"Southland","Glacial",NA,"Predicted","No data","LID51845"
"LID 51846","LID 51846",9.7,"Southland","Glacial",71.09,"Predicted","No data","LID51846"
"LID 51850","Lake Norwest",50.87,"Southland","Glacial",53.23,"Predicted","No data","LID51850"
"LID 51859","Lake Browne",77.93,"Southland","Glacial",66.19,"Predicted","No data","LID51859"
"LID 51862","LID 51862",6.41,"Southland","Glacial",71.36,"Predicted","No data","LID51862"
"LID 51868","LID 51868",8.22,"Southland","Glacial",57.05,"Predicted","No data","LID51868"
"LID 51874","Lake Chamberlain",42.71,"Southland","Glacial",67.05,"Predicted","No data","LID51874"
"LID 51876","LID 51876",16.63,"Southland","Glacial",41.05,"Predicted","No data","LID51876"
"LID 51877","LID 51877",35.01,"Southland","Glacial",62.04,"Predicted","No data","LID51877"
"LID 51882","LID 51882",8.59,"Southland","Glacial",NA,"Predicted","No data","LID51882"
"LID 51892","LID 51892",19.64,"Southland","Glacial",NA,"Predicted","No data","LID51892"
"LID 51895","LID 51895",12.46,"Southland","Glacial",73.28,"Predicted","No data","LID51895"
"LID 51899","Lake Annie",24.36,"Southland","Glacial",69.9,"Predicted","No data","LID51899"
"LID 51908","LID 51908",6.07,"Southland","Glacial",NA,"Predicted","No data","LID51908"
"LID 51915","LID 51915",6.29,"Southland","Glacial",56.1,"Predicted","No data","LID51915"
"LID 51940","Lake Lois",62.59,"Southland","Glacial",30.08,"Predicted","No data","LID51940"
"LID 51941","Trinity Lakes",11.55,"Southland","Glacial",NA,"Predicted","No data","LID51941"
"LID 51945","LID 51945",9.77,"Southland","Glacial",62.03,"Predicted","No data","LID51945"
"LID 51946","LID 51946",7.99,"Southland","Glacial",NA,"Predicted","No data","LID51946"
"LID 51954","LID 51954",43.91,"Southland","Glacial",23.32,"Predicted","No data","LID51954"
"LID 51955","LID 51955",5.05,"Southland","Glacial",15.24,"Predicted","No data","LID51955"
"LID 51958","Lake Richter",14.18,"Southland","Glacial",23.84,"Predicted","No data","LID51958"
"LID 51972","LID 51972",36,"Southland","Glacial",60.04,"Predicted","No data","LID51972"
"LID 51978","Lake Victoria",26.28,"Southland","Glacial",76.39,"Predicted","No data","LID51978"
"LID 51985","Lake Herries",110.35,"Southland","Glacial",59.86,"Predicted","No data","LID51985"
"LID 52001","LID 52001",13.19,"Southland","Glacial",32.14,"Predicted","No data","LID52001"
"LID 52026","LID 52026",5.16,"Southland","Glacial",9.55,"Predicted","No data","LID52026"
"LID 52059","LID 52059",8.52,"Southland","Glacial",8.51,"Predicted","No data","LID52059"
"LID 52077","LID 52077",21.74,"Southland","Glacial",25.22,"Predicted","No data","LID52077"
"LID 52080","LID 52080",5.24,"Southland","Glacial",25.69,"Predicted","No data","LID52080"
"LID 52088","LID 52088",5.05,"Southland","Glacial",7.22,"Predicted","No data","LID52088"
"LID 52098","Lake Luxmore",5.92,"Southland","Riverine",NA,"Predicted","No data","LID52098"
"LID 52115","Lake Thomas",28.98,"Southland","Riverine",12.65,"Predicted","No data","LID52115"
"LID 52117","LID 52117",8.72,"Southland","Riverine",9.14,"Predicted","No data","LID52117"
"LID 52133","LID 52133",6.04,"Southland","Glacial",53.07,"Predicted","No data","LID52133"
"LID 52138","Secretary Lake",15.95,"Southland","Glacial",32.09,"Predicted","No data","LID52138"
"LID 52140","LID 52140",12.62,"Southland","Glacial",60.73,"Predicted","No data","LID52140"
"LID 52143","LID 52143",18.82,"Southland","Glacial",67.46,"Predicted","No data","LID52143"
"LID 52147","Lake Dora",27.92,"Southland","Glacial",69.29,"Predicted","No data","LID52147"
"LID 52148","Lake Pan",19.07,"Southland","Glacial",72.66,"Predicted","No data","LID52148"
"LID 52152","LID 52152",30.13,"Southland","Glacial",70.68,"Predicted","No data","LID52152"
"LID 52155","LID 52155",7.38,"Southland","Glacial",60.23,"Predicted","No data","LID52155"
"LID 52159","LID 52159",13.01,"Southland","Glacial",74.73,"Predicted","No data","LID52159"
"LID 52160","LID 52160",6.18,"Southland","Glacial",44.65,"Predicted","No data","LID52160"
"LID 52165","LID 52165",5.45,"Southland","Riverine",32.37,"Predicted","No data","LID52165"
"LID 52167","Lake Norma",17.63,"Southland","Riverine",59.02,"Predicted","No data","LID52167"
"LID 52170","LID 52170",5.82,"Southland","Glacial",67.14,"Predicted","No data","LID52170"
"LID 52171","LID 52171",7.74,"Southland","Glacial",NA,"Predicted","No data","LID52171"
"LID 52176","LID 52176",11.91,"Southland","Glacial",NA,"Predicted","No data","LID52176"
"LID 52177","Lake Freeman",10.58,"Southland","Glacial",45.17,"Predicted","No data","LID52177"
"LID 52181","Lake Minerva",16.98,"Southland","Glacial",41.98,"Predicted","No data","LID52181"
"LID 52186","Tuaraki",7.67,"Southland","Glacial",NA,"Predicted","No data","LID52186"
"LID 52190","Lake Boomerang",8.84,"Southland","Glacial",48.94,"Predicted","No data","LID52190"
"LID 52194","LID 52194",14.6,"Southland","Glacial",67.6,"Predicted","No data","LID52194"
"LID 52204","LID 52204",6.53,"Southland","Glacial",NA,"Predicted","No data","LID52204"
"LID 52205","LID 52205",11.15,"Southland","Glacial",57.73,"Predicted","No data","LID52205"
"LID 52206","LID 52206",9.46,"Southland","Glacial",66.26,"Predicted","No data","LID52206"
"LID 52221","Tawera Tarn",13.75,"Southland","Glacial",52.88,"Predicted","No data","LID52221"
"LID 52224","LID 52224",7.49,"Southland","Glacial",53.52,"Predicted","No data","LID52224"
"LID 52232","LID 52232",6.5,"Southland","Glacial",NA,"Predicted","No data","LID52232"
"LID 52235","Myth Tarn",28.19,"Southland","Glacial",51.72,"Predicted","No data","LID52235"
"LID 52240","Lake Shirley",54.82,"Southland","Glacial",72.6,"Predicted","No data","LID52240"
"LID 52241","LID 52241",14.06,"Southland","Glacial",59.21,"Predicted","No data","LID52241"
"LID 52243","Lake Marchant",266.19,"Southland","Glacial",72.35,"Predicted","No data","LID52243"
"LID 52247","LID 52247",14.5,"Southland","Glacial",55.22,"Predicted","No data","LID52247"
"LID 52254","LID 52254",29.51,"Southland","Glacial",65.43,"Predicted","No data","LID52254"
"LID 52256","LID 52256",5.92,"Southland","Glacial",51.63,"Predicted","No data","LID52256"
"LID 52258","LID 52258",34.12,"Southland","Glacial",64.49,"Predicted","No data","LID52258"
"LID 52268","Lake Eva",13.41,"Southland","Glacial",52.19,"Predicted","No data","LID52268"
"LID 52269","Lake Ione",17.8,"Southland","Glacial",55.81,"Predicted","No data","LID52269"
"LID 52274","Hidden Lake",26.38,"Southland","Glacial",49.13,"Predicted","No data","LID52274"
"LID 52292","Teardrop Lake",41.61,"Southland","Glacial",61.43,"Predicted","No data","LID52292"
"LID 52297","LID 52297",5.06,"Southland","Glacial",62.23,"Predicted","No data","LID52297"
"LID 52298","LID 52298",14.61,"Southland","Glacial",71.95,"Predicted","No data","LID52298"
"LID 52300","LID 52300",5.39,"Southland","Shoreline",25.5,"Predicted","No data","LID52300"
"LID 52301","LID 52301",5.67,"Southland","Glacial",36.32,"Predicted","No data","LID52301"
"LID 52303","LID 52303",5.65,"Southland","Glacial",59.82,"Predicted","No data","LID52303"
"LID 52306","LID 52306",10.06,"Southland","Glacial",62.59,"Predicted","No data","LID52306"
"LID 52307","LID 52307",17.92,"Southland","Glacial",62.58,"Predicted","No data","LID52307"
"LID 52322","LID 52322",5.16,"Southland","Glacial",62.21,"Predicted","No data","LID52322"
"LID 52335","LID 52335",5.23,"Southland","Glacial",35,"Predicted","No data","LID52335"
"LID 52338","LID 52338",5.39,"Southland","Glacial",54.06,"Predicted","No data","LID52338"
"LID 52340","LID 52340",21.61,"Southland","Glacial",47.96,"Predicted","No data","LID52340"
"LID 52344","LID 52344",29.75,"Southland","Glacial",NA,"Predicted","No data","LID52344"
"LID 52355","Three Duck Lake",18.2,"Southland","Glacial",68.5,"Predicted","No data","LID52355"
"LID 52358","LID 52358",42.14,"Southland","Glacial",68.84,"Predicted","No data","LID52358"
"LID 52370","LID 52370",6.73,"Southland","Glacial",NA,"Predicted","No data","LID52370"
"LID 52372","LID 52372",5.92,"Southland","Glacial",56.54,"Predicted","No data","LID52372"
"LID 52374","LID 52374",10.52,"Southland","Glacial",NA,"Predicted","No data","LID52374"
"LID 52380","Lake Cecil",14.09,"Southland","Glacial",43.26,"Predicted","No data","LID52380"
"LID 52384","LID 52384",9.31,"Southland","Glacial",29.42,"Predicted","No data","LID52384"
"LID 52389","Lake Hall",59.36,"Southland","Glacial",55.62,"Predicted","No data","LID52389"
"LID 52391","LID 52391",8.3,"Southland","Glacial",20.23,"Predicted","No data","LID52391"
"LID 52393","Lake Hilda",100.5,"Southland","Glacial",67.24,"Predicted","No data","LID52393"
"LID 52397","Te Au",156.49,"Southland","Glacial",72.75,"Predicted","No data","LID52397"
"LID 52399","LID 52399",7.23,"Southland","Glacial",42.69,"Predicted","No data","LID52399"
"LID 52400","LID 52400",9.03,"Southland","Glacial",63.01,"Predicted","No data","LID52400"
"LID 52410","LID 52410",14.39,"Southland","Landslide",25.19,"Predicted","No data","LID52410"
"LID 52411","LID 52411",7.68,"Southland","Glacial",30.41,"Predicted","No data","LID52411"
"LID 52421","LID 52421",9.52,"Southland","Glacial",NA,"Predicted","No data","LID52421"
"LID 52422","LID 52422",13.69,"Southland","Glacial",57.54,"Predicted","No data","LID52422"
"LID 52429","LID 52429",8.28,"Southland","Glacial",NA,"Predicted","No data","LID52429"
"LID 52434","LID 52434",7.78,"Southland","Glacial",47.17,"Predicted","No data","LID52434"
"LID 52472","LID 52472",7.73,"Southland","Glacial",24.4,"Predicted","No data","LID52472"
"LID 52473","LID 52473",14.66,"Southland","Glacial",27.14,"Predicted","No data","LID52473"
"LID 52474","Te Aroha",6.86,"Southland","Peat",15.09,"Predicted","No data","LID52474"
"LID 52475","Lake Orbell",34.59,"Southland","Glacial",53.02,"Predicted","No data","LID52475"
"LID 52532","LID 52532",12.96,"Southland","Glacial",12.03,"Predicted","No data","LID52532"
"LID 52566","Te Anau",34419,"Southland","Glacial",417,"Measured","Limited and Irregular","LID52566"
"LID 52570","LID 52570",7.01,"Southland","Peat",16.92,"Predicted","No data","LID52570"
"LID 52576","Lake Mistletoe",11.19,"Southland","Peat",18.37,"Predicted","No data","LID52576"
"LID 52577","Bog Lake",39.27,"Southland","Glacial",19.09,"Predicted","No data","LID52577"
"LID 52585","Lake Bloxham",77.02,"Southland","Glacial",65.48,"Predicted","No data","LID52585"
"LID 52592","Lake Mackinnon",61.95,"Southland","Glacial",51.45,"Predicted","No data","LID52592"
"LID 52613","Lake Mcivor",167.54,"Southland","Glacial",72.07,"Predicted","No data","LID52613"
"LID 52617","Lake Wapiti",87.41,"Southland","Glacial",78.37,"Predicted","No data","LID52617"
"LID 52618","LID 52618",5.2,"Southland","Glacial",56.35,"Predicted","No data","LID52618"
"LID 52619","LID 52619",8.13,"Southland","Glacial",59.94,"Predicted","No data","LID52619"
"LID 52624","LID 52624",8.63,"Southland","Glacial",62.91,"Predicted","No data","LID52624"
"LID 52641","Lake Clark",30.42,"Southland","Glacial",57.75,"Predicted","No data","LID52641"
"LID 52642","Lake Wade",30.76,"Southland","Glacial",66.5,"Predicted","No data","LID52642"
"LID 52647","LID 52647",8.98,"Southland","Glacial",20.28,"Predicted","No data","LID52647"
"LID 52650","LID 52650",8.66,"Southland","Glacial",37.03,"Predicted","No data","LID52650"
"LID 52652","LID 52652",41.44,"Southland","Glacial",37.02,"Predicted","No data","LID52652"
"LID 52658","LID 52658",5.91,"Southland","Glacial",NA,"Predicted","No data","LID52658"
"LID 52660","Lake Ogle",10.76,"Southland","Glacial",49.83,"Predicted","No data","LID52660"
"LID 52666","Lake Hankinson",339.85,"Southland","Glacial",73.3,"Predicted","No data","LID52666"
"LID 52669","LID 52669",11.52,"Southland","Glacial",NA,"Predicted","No data","LID52669"
"LID 52677","LID 52677",9.13,"Southland","Glacial",NA,"Predicted","No data","LID52677"
"LID 52684","LID 52684",28.19,"Southland","Glacial",43.49,"Predicted","No data","LID52684"
"LID 52697","Lake Katherine",26.21,"Southland","Glacial",54.94,"Predicted","No data","LID52697"
"LID 52722","Lake Alice",178.14,"Southland","Glacial",66.75,"Predicted","No data","LID52722"
"LID 52723","LID 52723",5.41,"Southland","Glacial",46.89,"Predicted","No data","LID52723"
"LID 52731","Lake Thompson",55.41,"Southland","Glacial",48.39,"Predicted","No data","LID52731"
"LID 52740","Lake Sutherland",35.88,"Southland","Glacial",50.93,"Predicted","No data","LID52740"
"LID 52751","Lake Roxburgh",62.71,"Southland","Dam",66.91,"Predicted","No data","LID52751"
"LID 52770","LID 52770",14.69,"Southland","Glacial",NA,"Predicted","No data","LID52770"
"LID 52785","LID 52785",6.12,"Southland","Glacial",NA,"Predicted","No data","LID52785"
"LID 52806","LID 52806",6.15,"Southland","Glacial",37.89,"Predicted","No data","LID52806"
"LID 52834","LID 52834",5.42,"Southland","Glacial",NA,"Predicted","No data","LID52834"
"LID 52849","LID 52849",7.25,"Southland","Glacial",34.7,"Predicted","No data","LID52849"
"LID 52851","LID 52851",22.71,"Southland","Glacial",59.65,"Predicted","No data","LID52851"
"LID 52861","LID 52861",5.78,"Southland","Glacial",76.94,"Predicted","No data","LID52861"
"LID 52863","LID 52863",6.38,"Southland","Glacial",NA,"Predicted","No data","LID52863"
"LID 52875","Lake Bernard",32.46,"Southland","Glacial",56.17,"Predicted","No data","LID52875"
"LID 52878","Swan Mere",16.98,"Southland","Landslide",47.99,"Predicted","No data","LID52878"
"LID 52884","Lake Grave",221.14,"Southland","Glacial",69.58,"Predicted","No data","LID52884"
"LID 52887","LID 52887",28.63,"Southland","Glacial",64.64,"Predicted","No data","LID52887"
"LID 52888","LID 52888",5.77,"Southland","Landslide",46.28,"Predicted","No data","LID52888"
"LID 52896","LID 52896",44.3,"Southland","Glacial",69.6,"Predicted","No data","LID52896"
"LID 52902","LID 52902",19.8,"Southland","Glacial",64.02,"Predicted","No data","LID52902"
"LID 52904","LID 52904",6.49,"Southland","Glacial",62.37,"Predicted","No data","LID52904"
"LID 52906","Lake Dale",11.25,"Southland","Glacial",55.47,"Predicted","No data","LID52906"
"LID 52908","LID 52908",5.04,"Southland","Glacial",NA,"Predicted","No data","LID52908"
"LID 52914","LID 52914",48.2,"Southland","Glacial",64.89,"Predicted","No data","LID52914"
"LID 52919","LID 52919",37.21,"Southland","Glacial",63.94,"Predicted","No data","LID52919"
"LID 52924","Lake Brownlee",30.29,"Southland","Glacial",60.81,"Predicted","No data","LID52924"
"LID 52927","Lake Sumor",12.29,"Southland","Riverine",50.8,"Predicted","No data","LID52927"
"LID 52928","LID 52928",10.53,"Southland","Glacial",76.65,"Predicted","No data","LID52928"
"LID 52940","LID 52940",22.22,"Southland","Glacial",64.5,"Predicted","No data","LID52940"
"LID 52954","Lake Ross",36.28,"Southland","Landslide",62.3,"Predicted","No data","LID52954"
"LID 52960","Lake Quill",111.36,"Southland","Glacial",74.13,"Predicted","No data","LID52960"
"LID 52961","LID 52961",15.86,"Southland","Glacial",NA,"Predicted","No data","LID52961"
"LID 52991","LID 52991",6.79,"Southland","Glacial",NA,"Predicted","No data","LID52991"
"LID 52992","Lake Iceberg",21.36,"Southland","Glacial",NA,"Predicted","No data","LID52992"
"LID 52998","Lake Erskine",105.14,"Southland","Glacial",98.46,"Predicted","No data","LID52998"
"LID 53006","Lake Thompson",21.59,"Southland","Glacial",78.19,"Predicted","No data","LID53006"
"LID 53020","LID 53020",13.7,"Southland","Glacial",65.7,"Predicted","No data","LID53020"
"LID 53021","LID 53021",12.87,"Southland","Glacial",NA,"Predicted","No data","LID53021"
"LID 53022","LID 53022",23.19,"Southland","Glacial",68.39,"Predicted","No data","LID53022"
"LID 53025","Lake Ronald",116.25,"Southland","Glacial",64.49,"Predicted","No data","LID53025"
"LID 53033","Lake Moreton",50.1,"Southland","Glacial",78.27,"Predicted","No data","LID53033"
"LID 53034","LID 53034",58.07,"Southland","Glacial",63.13,"Predicted","No data","LID53034"
"LID 53048","Lake Brown",25.53,"Southland","Glacial",41.06,"Predicted","No data","LID53048"
"LID 53059","LID 53059",6.13,"Southland","Riverine",44.13,"Predicted","No data","LID53059"
"LID 53062","Lake Ada",239.51,"Southland","Landslide",55.1,"Predicted","No data","LID53062"
"LID 53101","LID 53101",40.42,"Southland","Glacial",62.34,"Predicted","No data","LID53101"
"LID 53103","Lake Pukutahi",12.29,"Southland","Glacial",NA,"Predicted","No data","LID53103"
"LID 53109","Lake Never-never",25.06,"Southland","Glacial",74.2,"Predicted","No data","LID53109"
"LID 53113","Lake Truth",13.29,"Southland","Glacial",NA,"Predicted","No data","LID53113"
"LID 53114","LID 53114",11.9,"Southland","Glacial",53.88,"Predicted","No data","LID53114"
"LID 53117","LID 53117",54.5,"Southland","Glacial",49.91,"Predicted","No data","LID53117"
"LID 53124","LID 53124",9.67,"Southland","Glacial",73.51,"Predicted","No data","LID53124"
"LID 53145","Lake Nigel",16.59,"Otago","Glacial",36.68,"Predicted","No data","LID53145"
"LID 53163","LID 53163",10.95,"Otago","Glacial",17.8,"Predicted","No data","LID53163"
"LID 53177","Mckenzie Lagoon",9.29,"Southland","Shoreline",11.2,"Predicted","No data","LID53177"
"LID 53202","Lake Echo",6.39,"Southland","Peat",12.57,"Predicted","No data","LID53202"
"LID 53300","Lake Gow",22.27,"Southland","Glacial",NA,"Predicted","No data","LID53300"
"LID 53304","Blue Lake",44.71,"Southland","Glacial",64.02,"Predicted","No data","LID53304"
"LID 53307","Lake Scott",10.05,"Southland","Glacial",NA,"Predicted","No data","LID53307"
"LID 53315","LID 53315",6.34,"Southland","Glacial",NA,"Predicted","No data","LID53315"
"LID 53338","South Mavora Lake",163.33,"Southland","Glacial",40,"Measured","No data","LID53338"
"LID 53353","North Mavora Lake",1020.96,"Southland","Glacial",81.17,"Measured","No data","LID53353"
"LID 53359","LID 53359",5.44,"Southland","Glacial",NA,"Predicted","No data","LID53359"
"LID 53392","Lake Ned",11.71,"Otago","Glacial",39.7,"Predicted","No data","LID53392"
"LID 53401","Acheron Lakes S",15.11,"Southland","Glacial",NA,"Predicted","No data","LID53401"
"LID 53402","Acheron Lakes N",25.27,"Southland","Glacial",41.26,"Predicted","No data","LID53402"
"LID 53491","LID 53491",5.4,"Southland","Riverine",15.55,"Predicted","No data","LID53491"
"LID 53519","LID 53519",70.11,"Otago","Glacial",23.23,"Predicted","No data","LID53519"
"LID 53532","Wakatipu",29897.6,"Otago","Glacial",380,"Measured","Periodic but Sparse","LID53532"
"LID 53545","Lake Dispute",28.24,"Otago","Glacial",44.72,"Predicted","No data","LID53545"
"LID 53547","Lake Isobel",5.62,"Otago","Glacial",NA,"Predicted","No data","LID53547"
"LID 53549","Moke",81.43,"Otago","Glacial",34.65,"Predicted","No data","LID53549"
"LID 53616","LID 53616",7.37,"Southland","Glacial",NA,"Predicted","No data","LID53616"
"LID 53707","Lake Johnson",25.53,"Otago","Glacial",27,"Measured","Minimal Data","LID53707"
"LID 53717","LID 53717",5.16,"Otago","Glacial",NA,"Predicted","No data","LID53717"
"LID 53730","Lake Alta",12.86,"Otago","Glacial",NA,"Predicted","No data","LID53730"
"LID 53851","Lake Gunn",272.27,"Southland","Glacial",84.3,"Measured","No data","LID53851"
"LID 53864","LID 53864",5.12,"Otago","Glacial",69.96,"Predicted","No data","LID53864"
"LID 53872","Lake Fergus",59.14,"Southland","Glacial",80.26,"Predicted","No data","LID53872"
"LID 53877","Lake Mckellar",73.61,"Otago","Glacial",72.39,"Predicted","No data","LID53877"
"LID 53886","Lake Howden",8.12,"Southland","Riverine",49.62,"Predicted","No data","LID53886"
"LID 53963","LID 53963",107.12,"West Coast","Glacial",92.6,"Predicted","No data","LID53963"
"LID 53966","Cloudmaker Lake",24.29,"West Coast","Glacial",NA,"Predicted","No data","LID53966"
"LID 54000","Lake Marian",80.52,"Southland","Glacial",74.28,"Predicted","No data","LID54000"
"LID 54005","LID 54005",8.21,"Southland","Glacial",NA,"Predicted","No data","LID54005"
"LID 54021","LID 54021",5.33,"Otago","Glacial",NA,"Predicted","No data","LID54021"
"LID 54025","Lake Mackenzie",22.77,"Southland","Glacial",NA,"Predicted","No data","LID54025"
"LID 54035","Rere",7.24,"Otago","Riverine",59.71,"Predicted","No data","LID54035"
"LID 54037","LID 54037",5.57,"Otago","Riverine",17.45,"Predicted","No data","LID54037"
"LID 54039","Lake Luna",35.85,"Otago","Glacial",63.05,"Predicted","No data","LID54039"
"LID 54050","LID 54050",17.47,"Otago","Riverine",18.37,"Predicted","No data","LID54050"
"LID 54060","Lake Adelaide",128.31,"Southland","Glacial",83.34,"Predicted","No data","LID54060"
"LID 54071","LID 54071",9.98,"Southland","Glacial",NA,"Predicted","No data","LID54071"
"LID 54073","Lake Turner",48.8,"Southland","Glacial",NA,"Predicted","No data","LID54073"
"LID 54077","Rainbow Lake",11.55,"Southland","Glacial",71.57,"Predicted","No data","LID54077"
"LID 54080","Lake Hyslop",5.16,"Southland","Glacial",NA,"Predicted","No data","LID54080"
"LID 54088","Lake Harris",22.34,"Otago","Glacial",NA,"Predicted","No data","LID54088"
"LID 54094","Lake Wilson",29.11,"Otago","Glacial",NA,"Predicted","No data","LID54094"
"LID 54124","LID 54124",5.16,"Otago","Glacial",NA,"Predicted","No data","LID54124"
"LID 54132","Diamond Lake",177.15,"Otago","Riverine",24.61,"Measured","No data","LID54132"
"LID 54141","Lake Reid",12.51,"Otago","Riverine",34.96,"Predicted","No data","LID54141"
"LID 54144","Lake Sylvan",62.2,"Otago","Glacial",67.61,"Predicted","No data","LID54144"
"LID 54156","LID 54156",17.21,"Otago","Glacial",NA,"Predicted","No data","LID54156"
"LID 54177","Lochnagar",304.34,"Otago","Glacial",105.22,"Predicted","No data","LID54177"
"LID 54190","Lake Hayes",274.4,"Otago","Glacial",33.3,"Measured","Limited and Irregular","LID54190"
"LID 54274","LID 54274",5.08,"Otago","Glacial",NA,"Predicted","No data","LID54274"
"LID 54311","LID 54311",5.25,"Otago","Riverine",13.07,"Predicted","No data","LID54311"
"LID 54326","LID 54326",16.58,"Otago","Riverine",10.73,"Predicted","No data","LID54326"
"LID 54337","LID 54337",6.86,"Otago","Riverine",12.3,"Predicted","No data","LID54337"
"LID 54342","LID 54342",6.66,"Otago","Riverine",8.09,"Predicted","No data","LID54342"
"LID 54356","Whakatipu Waitai (Lake Mckerrow)",2291.34,"Southland","Glacial",121,"Measured","No data","LID54356"
"LID 54375","LID 54375",11.77,"Southland","Glacial",NA,"Predicted","No data","LID54375"
"LID 54407","LID 54407",6.45,"Southland","Glacial",71.41,"Predicted","No data","LID54407"
"LID 54413","LID 54413",35.68,"Southland","Glacial",73.97,"Predicted","No data","LID54413"
"LID 54435","Lake Wilmot",232.54,"Southland","Riverine",75.6,"Predicted","No data","LID54435"
"LID 54443","LID 54443",10.79,"Southland","Glacial",36.19,"Predicted","No data","LID54443"
"LID 54467","LID 54467",6.83,"West Coast","Glacial",NA,"Predicted","No data","LID54467"
"LID 54486","Lake Williamson",49.09,"West Coast","Glacial",NA,"Predicted","No data","LID54486"
"LID 54487","LID 54487",6.75,"West Coast","Glacial",NA,"Predicted","No data","LID54487"
"LID 54515","LID 54515",5.75,"West Coast","Glacial",NA,"Predicted","No data","LID54515"
"LID 54561","Waiuna",89.7,"Southland","Shoreline",30.45,"Predicted","No data","LID54561"
"LID 54562","LID 54562",5.97,"Southland","Glacial",39.72,"Predicted","No data","LID54562"
"LID 54589","LID 54589",7.07,"West Coast","Glacial",NA,"Predicted","No data","LID54589"
"LID 54601","LID 54601",5.91,"West Coast","Glacial",NA,"Predicted","No data","LID54601"
"LID 54618","LID 54618",32.83,"West Coast","Glacial",NA,"Predicted","No data","LID54618"
"LID 54621","LID 54621",24.73,"Otago","Glacial",NA,"Predicted","No data","LID54621"
